"","place4","Freq"
"1","우도",17
"2","오설록",13
"3","박물관",11
"4","주상절리",11
"5","성산일출봉",10
"6","산방산",9
"7","송악산",9
"8","섭지코지",8
"9","한라산",8
"10","에코랜드",7
"11","용두암",7
"12","중문",7
"13","식당",6
"14","신창",6
"15","풍경",6
"16","경관",5
"17","공원",5
"18","분화구",5
"19","산책",5
"20","연폭",5
"21","외돌개",5
"22","파도",5
"23","해수욕장",5
"24","관광",4
"25","깨끗",4
"26","만장굴",4
"27","산굼부리",4
"28","산책로",4
"29","세화",4
"30","쇠소깍",4
"31","신라호텔",4
"32","애월읍",4
"33","애월읍도로",4
"34","절벽",4
"35","종달리",4
"36","천제",4
"37","천지연폭포",4
"38","천지연폭포연",4
"39","풍차",4
"40","하귀",4
